Time,Feed_Fv,Feed_Fmol,Cond_Q,RD_Level,Sump_Level,RR,Reb_Q,S14_T,S1_T,S1_P,Cond_T,Cond_P,S1_xB,S1_xDEB,S1_xE,S1_xEB,S1_yB,S20_T,S20_P,S1_yDEB,S1_yE,S1_yEB,S20_xEB,S20_yB,S20_yDEB,S20_yE,S20_yEB,S20_xB,D_Fmol,D_Fv,B_xB,B_xDEB,B_xE,B_xEB,B_Fv,B_Fmol,D_xB,D_xDEB,D_xE,D_xEB
5/10/2022 0:00,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,2.51E-28,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,1.21E-45,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:00,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,1.26E-25,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,0,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:01,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,2.99E-25,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,0,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:01,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,5.71E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,2.34E-27,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:02,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,5.61E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,1.99E-27,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:03,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,1.20E-25,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,8.92E-28,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:03,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,8.81E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,5.34E-28,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:04,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,5.62E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,1.75E-28,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:04,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,3.52E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,1.70E-29,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
5/10/2022 0:05,249.291,1882,-56.6114,5,5,0.774001,30.28246559,101.481,40.0868,0.303975,40.0868,0.303975,0.998562,1.59E-10,1.94E-04,0.0012435,0.903246,120.938,0.493985,3.17E-12,0.0965994,1.54E-04,0.690285,0.00233765,0.102588,2.47E-26,0.895075,4.10E-04,969.399,88.4117,4.10E-04,0.309305,5.02E-29,0.690285,135.424,912.6,0.998562,1.59E-10,1.94E-04,0.0012435
