Time,Feed vol flow,Feed mol flow,Condenser Duty,RD Level,Sump Level,Reflux  Ratio,Reboiler Duty,S14 Temp,S1 Temp,S1 Pressure,Condenser Temp,Condenser Press,S1 xB,S1 xDEB,S1 xE,S1 xEB,S1 yB,S20 Temp,S20 Pressure,S1 yDEB,S1 yE,S1 yEB,S20 xEB,S20 yB,S20 yDEB,S20 yE,S20 yEB,S20 xB,D mol flow,D vol flow,B xB,B xDEB,B xE,B xEB,B vol flow,B mol flow,D xB,D xDEB,D xE,D xEB,,
5/10/2022 12:00:00,249.2858893,1881.999307,-56.60966621,5.002596253,4.999761217,0.773674088,30.34467587,101.4201958,40.07289912,0.303694246,40.05174814,0.303561065,0.998676095,2.4121E-10,0.000194124,0.001318265,0.903407837,120.9668778,0.494232556,4.3372E-12,0.096502126,0.000158571,0.690352383,0.00335825,0.102464977,2.88534E-21,0.895747705,0.000172453,970.0942198,88.38215317,0.000358144,0.309102132,2.58204E-22,0.690305791,135.5028625,912.8726731,0.998735091,5.89588E-11,0.000194142,0.001101533,,
5/10/2022 12:00:36,249.2912262,1881.985034,-56.66341087,5.001424498,5.010215875,0.774913844,30.27086339,101.5834116,40.097236,0.304005076,39.97022586,0.30372281,0.998478968,1.25758E-10,0.000194075,0.001305074,0.903271133,120.9893773,0.493781552,1.79879E-12,0.096659143,0.000138147,0.690180758,0.002384528,0.102630922,-4.32053E-22,0.894142895,0.000501038,969.4836049,88.38904282,0.00032109,0.309197059,2.33822E-22,0.690291865,135.4394502,912.1040115,0.998441376,1.66113E-10,0.000194166,0.001092942,,
5/10/2022 12:01:12,249.2913715,1882.035813,-56.65528114,4.99668555,4.986921491,0.773169694,30.29366946,101.4356393,40.05345979,0.303180081,40.05466789,0.304511438,0.998558735,2.3822E-10,0.000194058,0.001160302,0.903220027,120.9023331,0.494218243,1.67374E-12,0.096574174,0.000159101,0.690323603,0.002330281,0.10253346,-1.07081E-20,0.895121338,0.000270577,970.2623945,88.37317431,0.000296143,0.309171427,-3.60826E-22,0.690306899,135.3846317,913.4351595,0.998468986,2.86768E-10,0.000194165,0.001093295,,
5/10/2022 12:01:48,249.2899243,1881.958109,-56.61671952,5.002997752,4.989660292,0.774938444,30.33564839,101.6181905,40.02819092,0.303825461,39.94037669,0.303543981,0.998689232,2.34418E-10,0.000194127,0.001143953,0.903127073,120.9341805,0.493410718,2.39755E-12,0.096688051,0.000155759,0.690393076,0.001294325,0.102420293,-1.16564E-20,0.894175363,0.000244847,969.7947277,88.4826879,0.000406569,0.309174831,1.14995E-22,0.690356764,135.3540715,912.7098821,0.998455368,2.77561E-10,0.000194175,0.001182219,,
5/10/2022 12:02:24,249.2961899,1881.997541,-56.61680758,4.999027106,4.990350248,0.774444091,30.30467981,101.4434192,40.09533084,0.303018956,40.05060524,0.303162712,0.998723827,9.36719E-11,0.000194087,0.001373111,0.903388096,120.97921,0.493113631,4.61413E-12,0.096450723,0.000137824,0.69040945,0.00246049,0.102410872,2.2138E-21,0.895394806,0.000428558,968.8422539,88.34176641,0.000184953,0.309210991,1.53889E-22,0.690158032,135.4313751,912.8108013,0.998616457,5.34441E-11,0.000194073,0.001130846,,
5/10/2022 12:03:00,249.2950069,1881.979943,-56.58664132,5.003823299,4.995218341,0.774215148,30.26930617,101.6205145,40.14543698,0.303356139,40.25479334,0.304793726,0.99854877,1.3833E-10,0.000194189,0.001392126,0.903081434,120.9659473,0.494180123,2.49098E-12,0.096751394,0.00016518,0.690304417,0.00221214,0.102549011,-1.27804E-21,0.895026994,0.000334669,969.3882626,88.47959194,0.000296609,0.309258696,4.45209E-22,0.690355542,135.4570214,912.9068853,0.998652442,1.27084E-10,0.000194175,0.001159975,,
5/10/2022 12:03:36,249.2952557,1882.028426,-56.56988485,4.998589668,4.996843848,0.774345284,30.28662852,101.6475312,40.16615382,0.303927438,40.22314537,0.303259169,0.998703976,6.0981E-11,0.00019406,0.00113289,0.903078035,120.9504944,0.494470036,3.25954E-12,0.096425104,0.00014474,0.690296936,0.002720966,0.102582404,1.96903E-20,0.895946553,0.000571221,970.0539336,88.47643355,0.000638699,0.309178224,-2.17171E-22,0.690418515,135.3239345,912.0979598,0.998679543,3.74699E-11,0.000194136,0.001412778,,
5/10/2022 12:04:12,249.2916147,1882.007019,-56.57807373,4.997435024,4.999538768,0.773582526,30.34408942,101.6577922,40.09392439,0.303369238,40.19108769,0.304060288,0.998513288,1.12819E-10,0.000194178,0.00107207,0.903165922,120.9653718,0.494485847,4.22011E-12,0.096504527,0.000177427,0.690469328,0.001235358,0.102420026,3.4554E-21,0.895029259,0.000595714,969.2126055,88.44573319,0.000489688,0.309370701,-3.96656E-22,0.690424518,135.5221454,913.3330718,0.998678738,1.82666E-10,0.000194187,0.001340428,,
5/10/2022 12:04:48,249.2855298,1881.989366,-56.64825045,4.997989319,5.002043,0.773551063,30.2843782,101.5637869,40.00255113,0.303896897,40.23088535,0.30348345,0.998635535,1.68009E-10,0.000194128,0.00140286,0.903151106,120.9362751,0.494651823,2.03657E-12,0.0967226,0.000167799,0.690299417,0.002107847,0.102671747,1.00148E-20,0.89506988,0.000352983,969.5614344,88.48257646,0.000605048,0.309229222,8.42193E-23,0.690364207,135.410864,911.7749756,0.998523327,3.67253E-11,0.000194166,0.001129077,,
5/10/2022 12:05:24,249.2919241,1881.956553,-56.58026145,4.998199117,5.00727638,0.773173175,30.2911018,101.39783,40.14640304,0.304678078,40.01784675,0.303113649,0.998582082,9.24081E-11,0.000194159,0.001287451,0.903225863,120.9795898,0.493369898,5.41192E-12,0.096424787,0.00015003,0.690240753,0.001868949,0.102719376,9.88261E-21,0.894147388,0.000346212,969.9932907,88.4097587,0.000335658,0.30940773,-2.97648E-22,0.690198021,135.3753924,912.6009402,0.998533733,2.11769E-10,0.000194156,0.001324792,,
