Time,Ca1,T1,Ca2,T2,F_cw
2021-11-29 00:04:46.915934,0.08809129998432624,441.3073327801265,0.005356220760755345,449.4418036437532,100.0
2021-11-29 00:05:46.915934,0.08757871252441062,441.19389322546067,0.005193828586298229,449.4250665244267,100.0
2021-11-29 00:06:46.915934,0.08881921663388595,441.1223778104505,0.005312459560217474,449.4953421615395,100.0
2021-11-29 00:07:46.915934,0.08743818698776329,441.19571550519015,0.005199986096150711,449.5526635664182,100.0
2021-11-29 00:08:46.915934,0.08918973333096347,441.1313152139652,0.00537080007377792,449.48996155360965,100.0
2021-11-29 00:09:46.915934,0.08871285099513447,441.24536360349674,0.005309059323311995,449.3786690801349,100.0
2021-11-29 00:10:46.915934,0.0876479447722839,441.2282637918375,0.0053465139190533905,449.424720299557,100.0
2021-11-29 00:11:46.915934,0.08779968299775157,441.2898058337701,0.005387692183553599,449.55155191242744,100.0
2021-11-29 00:12:46.915934,0.0879469073048113,441.239098605377,0.0052636500071637626,449.44261929680323,100.0
2021-11-29 00:13:46.915934,0.08758405359594879,441.1668656579268,0.005201663341324479,449.4756675396562,100.0
2021-11-29 00:14:46.915934,0.08798039652553181,441.2378878963971,0.005318679259949832,449.40310131661823,100.0
2021-11-29 00:15:46.915934,0.08909557421586997,441.3086027923638,0.00531315021637851,449.4521345097943,100.0
2021-11-29 00:16:46.915934,0.08795426762515586,441.1601958715757,0.005248043897111607,449.4238884299697,100.0
2021-11-29 00:17:46.915934,0.08757510762041759,441.3126487550994,0.005384093404902904,449.4941759905947,100.0
2021-11-29 00:18:46.915934,0.08869049312305707,441.18740386076945,0.005211102005507796,449.46728085751636,100.0
2021-11-29 00:19:46.915934,0.08824528940341364,441.1370188508025,0.0052982979294959615,449.57301286103103,100.0
2021-11-29 00:20:46.915934,0.08801796348045374,441.18644610454567,0.005353780992298212,449.5254510526454,100.0
2021-11-29 00:21:46.915934,0.08785402450011431,441.2461341527944,0.0053007717998925,449.4339400039049,100.0
2021-11-29 00:22:46.915934,0.0874494674193022,441.1818548757771,0.005284086710842209,449.5063692677741,100.0
2021-11-29 00:23:46.915934,0.08773640665257272,441.2475470679421,0.005232715606276037,449.5061062148347,100.0
2021-11-29 00:24:46.915934,0.08878447004783697,441.2752464959241,0.005314756515474235,449.4363813234338,95.84575708696971
2021-11-29 00:25:46.915934,0.0757398618117874,444.65155918708314,0.004171800528249301,451.48577420021496,95.84575708696971
2021-11-29 00:26:46.915934,0.07706421020031903,444.30787892045265,0.004028205960269263,451.60266590889955,95.84575708696971
2021-11-29 00:27:46.915934,0.07692611647828854,444.47436461048954,0.0040582123049100445,451.67115831025836,95.84575708696971
2021-11-29 00:28:46.915934,0.07617918792887197,444.3376191267565,0.004107367996058584,451.74212712629344,95.84575708696971
2021-11-29 00:29:46.915934,0.07608109858707547,444.42648426107934,0.004120341859675915,451.6036201247043,95.84575708696971
2021-11-29 00:30:46.915934,0.07586978912490155,444.38170275909175,0.004095714860600473,451.67425548625386,95.84575708696971
2021-11-29 00:31:46.915934,0.07608161714976344,444.37230471632495,0.004033223966689248,451.6581150891897,95.84575708696971
2021-11-29 00:32:46.915934,0.07696734270215702,444.28857831897574,0.004023136970162531,451.66003139325363,95.84575708696971
2021-11-29 00:33:46.915934,0.07624507684799159,444.4814479510954,0.004213665658886394,451.80202689292173,95.84575708696971
2021-11-29 00:34:46.915934,0.07530048516934425,444.41616567975,0.0041199345758741865,451.63803341143563,95.84575708696971
2021-11-29 00:35:46.915934,0.07696630899726438,444.33164140773346,0.004214923662782071,451.71994219257516,95.84575708696971
2021-11-29 00:36:46.915934,0.07544694650877513,444.3606384749124,0.00405307191475275,451.6855575641445,95.84575708696971
2021-11-29 00:37:46.915934,0.07626974864524738,444.42658660917516,0.004112515505391894,451.66532139330155,95.84575708696971
2021-11-29 00:38:46.915934,0.07623527125300031,444.3716109544901,0.004087072829377328,451.6676698164111,95.84575708696971
2021-11-29 00:39:46.915934,0.07549680298765277,444.37352111541344,0.00411350579086024,451.7832186931766,95.84575708696971
2021-11-29 00:40:46.915934,0.07653910942931925,444.4372873451839,0.004090225058314792,451.6721513372885,95.84575708696971
2021-11-29 00:41:46.915934,0.07639045891934217,444.42547698921516,0.00403784472388585,451.6300091679547,95.84575708696971
2021-11-29 00:42:46.915934,0.07599246662258538,444.31521663659555,0.004207465589610062,451.77092657900005,95.84575708696971
2021-11-29 00:43:46.915934,0.07612070988146005,444.3269238421068,0.0040421209533662095,451.7992174991059,95.84575708696971
2021-11-29 00:44:46.915934,0.0764944754987625,444.4552645019503,0.004092571734425458,451.6535702339755,98.91486940573179
2021-11-29 00:45:46.915934,0.0851752031762264,441.9323812259591,0.0049239978374613375,450.31150268792766,98.91486940573179
2021-11-29 00:46:46.915934,0.08538155844928694,442.02403407398754,0.004860954459487901,450.1225264429157,98.91486940573179
2021-11-29 00:47:46.915934,0.08577712062350176,442.1425278785017,0.004952972998247376,450.0801441277565,98.91486940573179
2021-11-29 00:48:46.915934,0.0853117059191669,442.1344171342095,0.004887586997544968,450.0322589126788,98.91486940573179
2021-11-29 00:49:46.915934,0.0846807750599303,442.0928368374087,0.00494023314149304,450.12239184343906,98.91486940573179
2021-11-29 00:50:46.915934,0.08554036956204948,441.9677800001801,0.004915618697018977,450.14665909307615,98.91486940573179
2021-11-29 00:51:46.915934,0.08391776770855593,442.0522165439073,0.005045745174467985,450.1128447627295,98.91486940573179
2021-11-29 00:52:46.915934,0.08443517347765171,442.07298497566984,0.004941505427577373,450.0692090752749,98.91486940573179
